VehicleID,Lane,Frame,Timestamp(s)
2,1,16,0.533
11,1,47,1.567
14,1,49,1.633
15,3,60,2.0
13,1,66,2.2
4,1,73,2.433
18,2,75,2.5
20,3,78,2.6
10,1,108,3.6
23,2,140,4.667
26,1,155,5.167
29,1,200,6.667
37,1,204,6.8
30,1,221,7.367
32,1,251,8.367
43,1,256,8.533
35,1,277,9.233
42,2,285,9.5
46,1,289,9.633
36,1,294,9.8
50,1,340,11.333
53,2,341,11.367
40,1,341,11.367
49,1,365,12.167
58,1,385,12.833
38,2,387,12.9
62,1,413,13.767
65,2,445,14.833
69,2,449,14.967
70,1,461,15.367
74,1,537,17.9
78,1,553,18.433
77,1,597,19.9
71,1,601,20.033
83,1,602,20.067
80,1,644,21.467
92,1,668,22.267
89,2,684,22.8
98,1,738,24.6
100,1,745,24.833
97,2,746,24.867
91,1,797,26.567
103,1,820,27.333
95,1,825,27.5
116,3,861,28.7
107,1,879,29.3
94,2,938,31.267
109,2,943,31.433
129,1,953,31.767
134,3,998,33.267
146,3,1063,35.433
108,1,1063,35.433
152,2,1121,37.367
150,1,1123,37.433
159,2,1125,37.5
160,1,1127,37.567
156,1,1150,38.333
162,1,1160,38.667
166,1,1172,39.067
169,1,1205,40.167
130,1,1206,40.2
154,1,1210,40.333
168,3,1211,40.367
164,1,1278,42.6
147,1,1295,43.167
180,1,1356,45.2
193,1,1362,45.4
177,1,1379,45.967
202,1,1390,46.333
189,3,1392,46.4
173,1,1446,48.2
208,3,1470,49.0
210,1,1471,49.033
220,1,1509,50.3
181,1,1521,50.7
228,3,1548,51.6
221,1,1549,51.633
230,1,1558,51.933
188,1,1600,53.333
231,3,1601,53.367
224,1,1612,53.733
153,2,1627,54.233
241,1,1644,54.8
244,1,1651,55.033
248,2,1656,55.2
235,1,1672,55.733
255,1,1704,56.8
253,1,1721,57.367
254,2,1723,57.433
259,1,1749,58.3
256,1,1768,58.933
245,2,1776,59.2
266,1,1808,60.267
206,1,1829,60.967
263,1,1836,61.2
267,2,1850,61.667
270,1,1852,61.733
278,1,1856,61.867
282,1,1895,63.167
283,1,1918,63.933
286,2,1927,64.233
293,1,1958,65.267
295,1,1978,65.933
297,1,1983,66.1
299,1,1986,66.2
262,2,2005,66.833
298,1,2014,67.133
304,1,2029,67.633
274,2,2059,68.633
252,1,2071,69.033
308,1,2087,69.567
292,1,2094,69.8
309,1,2097,69.9
311,2,2105,70.167
319,1,2120,70.667
320,2,2156,71.867
315,1,2156,71.867
290,2,2156,71.867
322,1,2159,71.967
275,1,2160,72.0
329,1,2186,72.867
327,2,2214,73.8
337,1,2244,74.8
336,1,2249,74.967
341,2,2274,75.8
339,1,2298,76.6
335,1,2302,76.733
301,1,2304,76.8
343,1,2309,76.967
314,1,2363,78.767
350,1,2440,81.333
334,1,2472,82.4
355,1,2477,82.567
353,2,2480,82.667
356,1,2506,83.533
345,1,2523,84.1
358,2,2538,84.6
362,1,2559,85.3
364,2,2592,86.4
367,2,2641,88.033
369,1,2662,88.733
361,1,2695,89.833
368,1,2705,90.167
377,1,2761,92.033
374,1,2763,92.1
378,1,2798,93.267
382,1,2846,94.867
384,1,2849,94.967
383,1,2914,97.133
